1790,2,2,2,0,0,114300
2030,4,2,3,0,0,114200
1740,3,2,1,0,0,114800
1980,3,2,3,0,0,94700
2130,3,3,3,0,0,119800
1780,3,2,2,0,1,114600
1830,3,3,3,1,2,151600
2160,4,2,2,0,2,150700
2110,4,2,3,0,0,119200
1730,3,3,3,0,0,104000
2030,3,2,3,1,0,132500
1870,2,2,2,1,0,123000
1910,3,2,4,0,1,102600
2150,3,3,5,1,1,126300
2590,4,3,4,0,2,176800
1780,4,2,1,0,2,145800
2190,3,3,4,1,0,147100
1990,3,3,4,0,1,83600
1700,2,2,1,1,0,111400
1920,3,3,2,1,2,167200
1790,3,2,3,0,0,116200
2000,3,2,4,0,1,113800
1690,3,2,3,0,1,91700
1820,3,2,3,1,1,106100
2210,4,3,2,1,0,156400
2290,4,3,3,0,1,149300
2000,4,2,3,0,2,137000
1700,3,2,2,0,0,99300
1600,2,2,3,0,1,69100
2040,4,3,1,1,2,188000
2250,4,3,3,1,2,182000
1930,2,2,2,1,1,112300
2250,3,3,3,1,0,135000
2280,5,3,4,1,0,139600
2000,2,2,3,0,1,117800
2080,3,3,3,0,1,117100
1880,2,2,2,0,1,117500
2420,4,3,4,0,2,147000
1720,3,2,1,0,2,131300
1740,3,2,2,0,1,108200
1560,2,2,1,0,0,106600
1840,4,3,2,0,2,133600
1990,2,2,3,0,0,105600
1920,3,2,1,1,0,154000
1940,3,3,2,1,2,166500
1810,3,2,3,0,0,103200
1990,2,3,2,0,1,129800
2050,3,2,6,0,1,90300
1980,2,2,2,0,0,115900
1700,3,2,3,1,1,107500
